,category,hour,location,name,price,url,year
0,BACKHOE LOADERS,2051Hours,"Aurora,CO,UnitedStates",CATERPILLAR BACKHOE LOADERS 950K FC 2014,"NT$7,465,590TWD",/en/CATERPILLAR/BACKHOE%20LOADERS/950K%20FC/2513534/detail_view.html,2014
1,BACKHOE LOADERS,256Hours,"Albuquerque,NM,UnitedStates",CATERPILLAR BACKHOE LOADERS 430F2 4WDE 2015,"NT$4,713,758TWD",/en/CATERPILLAR/BACKHOE%20LOADERS/430F2%204WDE/2415389/detail_view.html,2015
2,BACKHOE LOADERS,1267Hours,"FRESNO,CA,UnitedStates",CATERPILLAR BACKHOE LOADERS 450F 2013,"NT$3,634,762TWD",/en/CATERPILLAR/BACKHOE%20LOADERS/450F/2474609/detail_view.html,2013
3,BACKHOE LOADERS,2060Hours,"FRESNO,CA,UnitedStates",CATERPILLAR BACKHOE LOADERS 450F 2013,"NT$3,589,516TWD",/en/CATERPILLAR/BACKHOE%20LOADERS/450F/2494382/detail_view.html,2013
4,BACKHOE LOADERS,1579Hours,"FRESNO,CA,UnitedStates",CATERPILLAR BACKHOE LOADERS 450F 2013,"NT$3,318,040TWD",/en/CATERPILLAR/BACKHOE%20LOADERS/450F/2505465/detail_view.html,2013
5,BACKHOE LOADERS,1568Hours,"Albuquerque,NM,UnitedStates",CATERPILLAR BACKHOE LOADERS 420F IT4WE 2014,"NT$2,714,760TWD",/en/CATERPILLAR/BACKHOE%20LOADERS/420F%20IT4WE/2067793/detail_view.html,2014
6,BACKHOE LOADERS,2288Hours,"Aurora,CO,UnitedStates",CATERPILLAR BACKHOE LOADERS 420F IT4WE 2013,"NT$2,639,350TWD",/en/CATERPILLAR/BACKHOE%20LOADERS/420F%20IT4WE/2335020/detail_view.html,2013
7,BACKHOE LOADERS,1255Hours,"FRESNO,CA,UnitedStates",CATERPILLAR BACKHOE LOADERS 420FST 2012,"NT$2,609,186TWD",/en/CATERPILLAR/BACKHOE%20LOADERS/420FST/2079147/detail_view.html,2012
8,BACKHOE LOADERS,1716Hours,"CITYOFINDUSTRY,CA,UnitedStates",CATERPILLAR BACKHOE LOADERS 420FST 2012,"NT$2,579,022TWD",/en/CATERPILLAR/BACKHOE%20LOADERS/420FST/2079142/detail_view.html,2012
9,BACKHOE LOADERS,1583Hours,"CITYOFINDUSTRY,CA,UnitedStates",CATERPILLAR BACKHOE LOADERS 420FST 2012,"NT$2,579,022TWD",/en/CATERPILLAR/BACKHOE%20LOADERS/420FST/2245833/detail_view.html,2012
10,BACKHOE LOADERS,1476Hours,"FRESNO,CA,UnitedStates",CATERPILLAR BACKHOE LOADERS 420FST 2012,"NT$2,579,022TWD",/en/CATERPILLAR/BACKHOE%20LOADERS/420FST/2245832/detail_view.html,2012
11,BACKHOE LOADERS,1265Hours,"Albuquerque,NM,UnitedStates",CATERPILLAR BACKHOE LOADERS 416F 4WD 2013,"NT$2,262,300TWD",/en/CATERPILLAR/BACKHOE%20LOADERS/416F%204WD/2403512/detail_view.html,2013
12,BACKHOE LOADERS,1340Hours,"Aurora,CO,UnitedStates",CATERPILLAR BACKHOE LOADERS 416F 4WD 2013,"NT$2,141,644TWD",/en/CATERPILLAR/BACKHOE%20LOADERS/416F%204WD/2310423/detail_view.html,2013
13,BACKHOE LOADERS,1539Hours,"ApacheJunction,AZ,UnitedStates",CATERPILLAR BACKHOE LOADERS 420F 4EO 2013,"NT$2,122,942TWD",/en/CATERPILLAR/BACKHOE%20LOADERS/420F%204EO/2152378/detail_view.html,2013
14,BACKHOE LOADERS,380Hours,"Albuquerque,NM,UnitedStates",CATERPILLAR BACKHOE LOADERS 420F 4WD 2015,"NT$2,790,170TWD",/en/CATERPILLAR/BACKHOE%20LOADERS/420F%204WD/2510167/detail_view.html,2015
15,BACKHOE LOADERS,800Hours,"Albuquerque,NM,UnitedStates",CATERPILLAR BACKHOE LOADERS 420F IT4WE 2015,"NT$5,589,871TWD",/en/CATERPILLAR/BACKHOE%20LOADERS/420F%20IT4WE/2513142/detail_view.html,2015
16,BACKHOE LOADERS,315Hours,"Albuquerque,NM,UnitedStates",CATERPILLAR BACKHOE LOADERS 420F2 IT4E 2015,"NT$5,577,806TWD",/en/CATERPILLAR/BACKHOE%20LOADERS/420F2%20IT4E/2514595/detail_view.html,2015
17,BACKHOE LOADERS,68Hours,"ApacheJunction,AZ,UnitedStates",CATERPILLAR BACKHOE LOADERS 450F 2016,"NT$5,186,639TWD",/en/CATERPILLAR/BACKHOE%20LOADERS/450F/2497668/detail_view.html,2016
18,BACKHOE LOADERS,376Hours,"Tucson,AZ,UnitedStates",CATERPILLAR BACKHOE LOADERS 450F 4EOMP 2016,"NT$4,873,054TWD",/en/CATERPILLAR/BACKHOE%20LOADERS/450F%204EOMP/2336125/detail_view.html,2016
19,BACKHOE LOADERS,405Hours,"Phoenix,AZ,UnitedStates",CATERPILLAR BACKHOE LOADERS 450F 4EOMP 2016,"NT$4,850,853TWD",/en/CATERPILLAR/BACKHOE%20LOADERS/450F%204EOMP/2352495/detail_view.html,2016
20,BACKHOE LOADERS,586Hours,"Mesa,AZ,UnitedStates",CATERPILLAR BACKHOE LOADERS 450F 4EOMP 2016,"NT$4,734,300TWD",/en/CATERPILLAR/BACKHOE%20LOADERS/450F%204EOMP/2372820/detail_view.html,2016
21,BACKHOE LOADERS,596Hours,"Mesa,AZ,UnitedStates",CATERPILLAR BACKHOE LOADERS 450F 4EOMP 2016,"NT$4,687,123TWD",/en/CATERPILLAR/BACKHOE%20LOADERS/450F%204EOMP/2367183/detail_view.html,2016
22,BACKHOE LOADERS,475Hours,"LasCruces,NM,UnitedStates",CATERPILLAR BACKHOE LOADERS 420F IT4WE 2014,"NT$4,568,820TWD",/en/CATERPILLAR/BACKHOE%20LOADERS/420F%20IT4WE/2415359/detail_view.html,2014
